Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2070,2080,2090,2100
MESSAGEix-buildings,SSP2_BL,LAM,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,113274361,121126070,139835799,151572224,162334352,170437595,176135106,172532115,169091838,165646067,143718249,116783326,90045663
MESSAGEix-buildings,SSP2_BL,LAM,Stock Retirement|Buildings|Residential|Multi-Family Houses,m^2/yr,38194816,46691423,55761112,64875540,73806347,82341527,90314429,97610311,104113303,115622715,120637932,122275317,120733218
MESSAGEix-buildings,SSP2_BL,LAM,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,1519226097,1612582121,1839113794,1979115904,2112196164,2214233519,2284400741,2234750151,2186229448,2139555256,1850748552,1503075266,1158934918
MESSAGEix-buildings,SSP2_BL,LAM,Stock Retirement|Buildings|Residential|Single-Family Houses,m^2/yr,696847651,822760577,951340225,1075350021,1191295069,1296337801,1388791389,1468126653,1534022547,1660845192,1682872664,1666831937,1617322203
MESSAGEix-buildings,SSP2_BL,MEA,Stock Addition|Buildings|Residential|Informal Houses,m^2/yr,27515727,28358578,25301254,23583279,22525712,8356402,25954123,4659735,1841944,658545,0,0,1017585
MESSAGEix-buildings,SSP2_BL,MEA,Stock Retirement|Buildings|Residential|Informal Houses,m^2/yr,7534624,8913635,10517943,11856494,13263387,14335452,15122844,15231784,15132697,14777411,11075947,5527198,2429455
MESSAGEix-buildings,SSP2_BL,MEA,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,171559910,183501426,211877815,224819806,261408840,268946163,284361107,287343835,289996446,297380713,275368925,244604555,204123161
MESSAGEix-buildings,SSP2_BL,MEA,Stock Retirement|Buildings|Residential|Multi-Family Houses,m^2/yr,42901058,52385954,63082188,74696307,86950727,99144661,112106216,124437528,136754294,158524570,173659833,184201133,189762815
MESSAGEix-buildings,SSP2_BL,MEA,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,1448409482,1532865349,1737856528,1827707165,2092211510,2133044493,2227362829,2227911438,2224493020,2259571578,2070035456,1829561057,1526773889
MESSAGEix-buildings,SSP2_BL,MEA,Stock Retirement|Buildings|Residential|Single-Family Houses,m^2/yr,441054704,528804331,624481365,725152520,828156757,927850115,1030187425,1124593288,1215691753,1378791201,1470860688,1521659921,1532494624
MESSAGEix-buildings,SSP2_BL,NAM,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,314244007,329867177,336615136,339715026,341992108,342804982,347257948,356579244,366678397,368630117,345175326,310279008,272869768
MESSAGEix-buildings,SSP2_BL,NAM,Stock Retirement|Buildings|Residential|Multi-Family Houses,m^2/yr,71813831,88623829,105782741,122594753,138563393,153456232,167255473,180036927,191835846,213483897,229286989,237826271,239347987
MESSAGEix-buildings,SSP2_BL,NAM,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,1823806942,1914487799,1953645677,1971630760,1984848877,1989559707,2015401081,2069509999,2128119173,2139452969,2003331454,1800786584,1583688625
MESSAGEix-buildings,SSP2_BL,NAM,Stock Retirement|Buildings|Residential|Single-Family Houses,m^2/yr,569746390,703937201,842026487,977423783,1104555894,1219557705,1320160640,1405630596,1475899446,1599749125,1642720116,1624135597,1562107258
MESSAGEix-buildings,SSP2_BL,PAO,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,113949785,110678782,106375841,103383309,101931796,100446007,98793516,96813290,93219727,81126313,65144089,46782881,29407785
MESSAGEix-buildings,SSP2_BL,PAO,Stock Retirement|Buildings|Residential|Multi-Family Houses,m^2/yr,58164647,56973922,62685255,67950612,72658651,76731730,80124484,82820508,84828089,88576991,88034212,85405419,81052243
MESSAGEix-buildings,SSP2_BL,PAO,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,719908635,335523766,320294727,309617124,304381714,299243320,294060485,288167931,277472410,241473520,193901840,139250273,87532942
MESSAGEix-buildings,SSP2_BL,PAO,Stock Retirement|Buildings|Residential|Single-Family Houses,m^2/yr,302428341,328088742,345121620,358170309,367307067,372694269,374546041,373199155,369057946,369600731,345292349,316732818,286214997
MESSAGEix-buildings,SSP2_BL,PAS,Stock Addition|Buildings|Residential|Informal Houses,m^2/yr,45828141,29738978,26482676,23802986,17510734,8543141,6517762,52324929,4542054,13954988,316754,0,0
MESSAGEix-buildings,SSP2_BL,PAS,Stock Retirement|Buildings|Residential|Informal Houses,m^2/yr,10941173,12028080,15010256,17739647,19660050,20691331,20782649,19550231,16061107,15191943,12782675,8629400,4375656
MESSAGEix-buildings,SSP2_BL,PAS,Stock Addition|Buildings|Residential|Multi-Family Houses,m^2/yr,308920984,276287280,309109490,337247815,358758158,371558514,380439495,421867966,368180442,325043600,321379934,283011725,217824902
MESSAGEix-buildings,SSP2_BL,PAS,Stock Retirement|Buildings|Residential|Multi-Family Houses,m^2/yr,134553156,156052475,179167490,200049045,218368069,234044144,247071426,257341491,259000079,277607156,268123609,254946143,241597740
MESSAGEix-buildings,SSP2_BL,PAS,Stock Addition|Buildings|Residential|Single-Family Houses,m^2/yr,1630984939,1473605352,1622910249,1742257940,1821247888,1862016706,1898066492,2082526857,1823175364,1613813679,1583121288,1391737771,1073218157
