node_loc,technology,year_vtg,value,unit,coc_base,non_coc_base,non_coc_base_2020,non_coc_base_growth
R12_EEU,csp_sm1_res3,2050,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res3,2060,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res3,2070,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res3,2080,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res3,2090,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res3,2100,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res3,2110,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res3,2025,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res3,2035,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res3,2045,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res3,2055,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res4,2020,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res4,2030,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
R12_EEU,csp_sm1_res4,2040,0.1,USD/GWa,0.010000000000000002,0.09,0.09,1.0
